name,dob,hand,type,bat_var
Tom Wickerson,12/08/1970,Left,Batter,19
Flo Harrison,07/09/1977,Right,Batter,18
Alex Rigge,14/02/1971,Right,Wicket Keeper,17
Piers Flemming,10/03/1979,Right,Batter,15
Sam Wickerson,23/07/1972,Left,All Rounder,13
Eve Wickerson,22/04/2008,Right,Batter,14
Bobby Wickerson,06/02/2011,Right,All Rounder,16
Ben Wickerson,17/03/1981,Right,Bowler,10
David Wickerson,17/08/1946,Right,Bowler,9
Rose Fletcher,25/03/1976,Right,Bowler,8
Penny Wickerson,10/03/1948,Right,Bowler,5
